work_id,doi,ano,primeiro_autor,author_id,genero_primeiro_autor,primeiro_autor_no_brasil,paises_primeiro_autor
W2921969509,10.1007/s00338-019-01789-6,2019,Carolina D. Teixeira,A5073446840,FEMININO,True,BR
W3022558061,10.3389/feart.2020.00093,2020,Luiz Drude de Lacerda,A5089747425,MASCULINO,True,BR
W3120105085,10.1038/s41598-020-80574-w,2021,Rodrigo L. Moura,A5017869442,MASCULINO,True,BR
W2894381910,10.1371/journal.pone.0203072,2018,Pedro Henrique Cipresso Pereira,A5041167316,MASCULINO,True,BR
W3209363278,10.1111/ddi.13430,2021,Luiza S. Waechter,A5070190363,FEMININO,True,BR
W2954551139,10.1111/gcb.14745,2019,Marco C. Brustolin,A5023522574,MASCULINO,True,BR;NZ
W2943378104,10.1007/s11274-019-2647-4,2019,Luciano Procópio,A5039711416,MASCULINO,True,BR
W4280541898,10.3389/fmars.2022.725778,2022,Pedro Henrique Cipresso Pereira,A5041167316,MASCULINO,True,BR
W2961319582,10.3389/fevo.2019.00286,2019,Robert J. Lennox,A5043562606,MASCULINO,False,NO
W3126712712,10.1002/ecy.3298,2021,Juan P. Quimbayo,A5027359361,MASCULINO,True,BR
W3006909401,10.3389/fmars.2020.00071,2020,Nathan J. Waltham,A5056589111,MASCULINO,False,AU
W3162038000,10.3389/fmars.2021.636226,2021,M. Tonelli,A5023021312,INDEFINIDO,True,BR
W2883796302,10.1016/j.marpol.2018.07.017,2018,Vinícius J. Giglio,A5000389720,MASCULINO,True,BR
W2891360730,10.1007/s40641-018-0114-1,2018,Annalisa Cherchi,A5007271330,FEMININO,False,IT
W2913734428,10.1080/17451000.2019.1572194,2018,Johnatas Adelir‐Alves,A5061019319,MASCULINO,True,BR
W4386209905,10.1016/j.jenvman.2023.118855,2023,Willians C. Niz,A5019962203,MASCULINO,True,BR
W3002548281,10.1590/0102-311x00230319,2020,Maria Elisabeth de Araújo,A5000465038,FEMININO,True,BR
W2943436444,10.1016/j.marenvres.2019.05.004,2019,José Amorim Reis‐Filho,A5009687424,MASCULINO,True,BR
W4282588666,10.3389/fmars.2022.701244,2022,Fernanda Andreoli Rolim,A5084312125,FEMININO,True,BR
W4360782291,10.3354/meps14288,2023,F. C. Da Silva,A5031953161,INDEFINIDO,True,BR
W2991924348,10.1016/j.ocecoaman.2019.105063,2019,Marcelo de Oliveira Soares,A5069983910,MASCULINO,True,BR;ES
W3020450163,10.1016/j.ocecoaman.2020.105189,2020,Márcio Luiz Vargas Barbosa-Filho,A5028307368,MASCULINO,True,BR
W4367187273,10.1016/j.jhazmat.2023.131522,2023,Md. Naimur Rahman,A5029176450,INDEFINIDO,False,BD
W3005063922,10.1371/journal.pone.0228065,2020,Tyler O. Gagné,A5005714927,MASCULINO,False,US
W2969663070,10.3389/fmars.2019.00550,2019,Jörn Oliver Schmidt,A5083443283,INDEFINIDO,False,DE
W4318983122,10.1038/s41467-023-36241-5,2023,Lavenia Ratnarajah,A5005015903,INDEFINIDO,False,AU;FR
W2965232082,10.1007/s00338-019-01847-z,2019,Daniele D’Agostino,A5011889544,FEMININO,False,GB
W4229442472,10.1073/pnas.2117440119,2022,Freya C. Womersley,A5088823228,FEMININO,False,GB
W2923854444,10.1590/1676-0611-bn-2018-0670,2019,Marcos César de Oliveira Santos,A5069058274,MASCULINO,True,BR
W4205274768,10.1007/s11356-022-18710-4,2022,Marcelo de Oliveira Soares,A5069983910,MASCULINO,True,BR;DE
W4303627899,10.3390/d14100824,2022,Peter J. Stephenson,A5043550545,MASCULINO,False,CH
W3119431757,10.1016/j.ocecoaman.2020.105506,2021,Samuel Façanha Câmara,A5033878960,MASCULINO,True,BR
W3110823229,10.1016/j.biocon.2020.108910,2020,Antoine O. H. C. Leduc,A5021420357,MASCULINO,True,BR
W4223938861,10.1111/jbi.14349,2022,Melina F. Maxwell,A5068315666,FEMININO,True,BR
W3047560485,10.1029/2020jc016113,2020,Tiago Segabinazzi Dotto,A5047969707,MASCULINO,True,BR;GB
W3158869479,10.1111/ele.13931,2021,Alain Maasri,A5042658873,MASCULINO,False,DE;US
