author_id,nome,primeiro_nome,genero,proporcao,prop_feminina_ibge,freq_ibge,motivo,paises,obras
A5074782277,Walliane Nunes da Silva,WALLIANE,INDEFINIDO,,,0,nome ausente do IBGE,BR,1
A5092894780,Emilly Cristiny de Melo Assunção,EMILLY,FEMININO,0.9961,0.9961,31839,IBGE,BR,1
A5083157480,Fernanda Simas Corrêa Biancalana,FERNANDA,FEMININO,0.9941,0.9941,534757,IBGE,BR,2
A5041460636,Felipe Jeferson de Medeiros,FELIPE,MASCULINO,0.9911,0.0089,621460,IBGE,BR,2
A5073532747,Cristiano Prestrelo de Oliveira,CRISTIANO,MASCULINO,0.9923,0.0077,195807,IBGE,BR,3
A5044126990,Daniel Henriques Alves Torres,DANIEL,MASCULINO,0.9932,0.0068,711338,IBGE,BR,1
A5103283009,Fabrício Veiga Costa,FABRICIO,MASCULINO,0.9928,0.0072,167879,IBGE,BR,1
A5013999384,Bruna Russo Bahiana,BRUNA,FEMININO,0.9940,0.9940,463548,IBGE,BR,1
A5063339242,Christine Kowal Chinelli,CHRISTINE,FEMININO,1.0000,1.0000,961,IBGE,BR,1
A5075514231,Romildo Lopes de Oliveira Filho,ROMILDO,MASCULINO,0.9967,0.0033,35972,IBGE,BR,1
A5012167563,Thiago Cavalcante Lins Silva,THIAGO,MASCULINO,0.9939,0.0061,343737,IBGE,BR,6
A5052448946,Bruno Georgevich Ferreira,BRUNO,MASCULINO,0.9926,0.0074,668217,IBGE,BR,2
A5076495065,Milena Joice Bressan,MILENA,FEMININO,0.9962,0.9962,159042,IBGE,,2
A5038725775,Tatiane Gonçalves de Lima,TATIANE,FEMININO,0.9967,0.9967,209635,IBGE,BR;GB;US,7
A5083278585,Luana Félix de Melo,LUANA,FEMININO,0.9953,0.9953,356300,IBGE,BR,5
A5044224079,Nathia Nataly Rigoglio,NATHIA,FEMININO,1.0000,1.0000,93,IBGE,BR,2
A5109526892,Edris Queiroz Lopes,EDRIS,MASCULINO,1.0000,0.0000,23,IBGE,BR;GB;US,8
A5039266939,Priscila Magalhães Silva Vilela,PRISCILA,FEMININO,0.9970,0.9970,223128,IBGE,BR,1
A5063804040,James Edward Richardson,JAMES,MASCULINO,0.9873,0.0127,19935,IBGE,CO;GB;IE,1
A5044415063,Fabián Armando Michelangeli,FABIAN,INDEFINIDO,0.8648,0.1352,2618,nome ambíguo no IBGE,US,2
A5109683664,Júlia Gomes de Sousa,JULIA,FEMININO,0.9959,0.9959,431842,IBGE,BR,1
A5111054892,Caio Barros Brito,CAIO,MASCULINO,0.9918,0.0082,227778,IBGE,BR,1
A5030857845,Beatriz Sant’Anna Vasconcelos Maraf Dutra,BEATRIZ,FEMININO,0.9962,0.9962,356351,IBGE,BR,1
A5057817807,Virgínia Eduarda de Sousa,VIRGINIA,FEMININO,0.9974,0.9974,38521,IBGE,BR,2
A5129526950,Antônia D.F. Lima,ANTONIA,FEMININO,0.9932,0.9932,592815,IBGE,BR,2
A5050751740,Beatriz D. Lopes,BEATRIZ,FEMININO,0.9962,0.9962,356351,IBGE,BR,2
A5123842321,Arlene  B. S. Nossol,ARLENE,FEMININO,0.9934,0.9934,17555,IBGE,BR,1
A5123827017,Luiz  R. Goulart,LUIZ,MASCULINO,0.9956,0.0044,1107792,IBGE,BR,1
A5012609095,Charles Pacheco Piñon,CHARLES,MASCULINO,0.9941,0.0059,73144,IBGE,BR,2
A5045712668,Marcelo Barbosa,MARCELO,MASCULINO,0.9955,0.0045,693215,IBGE,BR,1
sem-id:W3198525621:12,J. Lailson-Brito,,INDEFINIDO,,,0,nome abreviado,BR,1
A5013477667,Carolina C.C. Waite,CAROLINA,FEMININO,0.9962,0.9962,191221,IBGE,BR,1
A5019996605,Guilherme Oliveira A. da Silva,GUILHERME,MASCULINO,0.9925,0.0075,529001,IBGE,AU;BR,1
A5030149288,Daniella da Costa Pereira,DANIELLA,FEMININO,0.9967,0.9967,8179,IBGE,BR,1
A5082140911,Carla Ferragut,CARLA,FEMININO,0.9959,0.9959,326684,IBGE,BR,3
A5070346822,Geraldo José Peixoto Ramos,GERALDO,MASCULINO,0.9971,0.0029,340357,IBGE,BR,2
A5088938158,Daniela Mariano Lopes da Silva,DANIELA,FEMININO,0.9954,0.9954,304310,IBGE,BR,4
A5010981223,Carlos Wallace do Nascimento Moura,CARLOS,MASCULINO,0.9959,0.0041,1489191,IBGE,BR,5
A5065917392,Lucero Martínez-Fructuoso,LUCERO,INDEFINIDO,,,0,nome ausente do IBGE,MX,1
A5020327964,Rogelio Pereda‐Miranda,ROGELIO,MASCULINO,1.0000,0.0000,1190,IBGE,MX,1
A5053378396,Mabel Fragoso‐Serrano,MABEL,FEMININO,0.9748,0.9748,3376,IBGE,MX,1
A5089557683,Aline Soares da Silva,ALINE,FEMININO,0.9963,0.9963,511737,IBGE,BR,1
A5073151729,Suzana Guimarães Leitão,SUZANA,FEMININO,0.9974,0.9974,73944,IBGE,BR,3
A5004278108,Vitor Gomes Rossi,VITOR,MASCULINO,0.9922,0.0078,422903,IBGE,BR,2
A5072138949,Matthias Sörgel,MATTHIAS,MASCULINO,1.0000,0.0000,67,IBGE,DE,2
A5077658508,Jeannine Ditas,JEANNINE,FEMININO,1.0000,1.0000,94,IBGE,CN;DE,1
A5012088874,Christiane Schulz,CHRISTIANE,FEMININO,1.0000,1.0000,4825,IBGE,DE,1
A5041133570,Tobias Donth,TOBIAS,MASCULINO,0.9951,0.0049,5077,IBGE,DE,1
A5091241245,Stephan Borrmann,STEPHAN,MASCULINO,0.9527,0.0473,465,IBGE,DE,1
A5064037338,Ramon Campos Braga,RAMON,MASCULINO,0.9942,0.0058,62807,IBGE,DE,2
