author_id,nome,paises,primeiro_nome,obras,genero_ibge,motivo_ibge,genero_wgnd,motivo_wgnd,genero_wgnd_fallback,motivo_wgnd_fallback,detalhe_wgnd
A5102910299,Ryan E. O’Shea,US,RYAN,3,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,US:F0.02/M0.98
A5022135731,Arun M. Saranathan,US,ARUN,1,INDEFINIDO,nome ausente do IBGE,MASCULINO,WGND,MASCULINO,WGND,US:M1.00
A5073550038,Christopher J. Grassa,US,CHRISTOPHER,2,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,US:F0.00/M1.00
A5012513857,Liming Cai,US,LIMING,1,INDEFINIDO,nome ausente do IBGE,MASCULINO,WGND,MASCULINO,WGND,US:M1.00
A5016042479,Nicolas A. Blouin,US,NICOLAS,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,US:F0.00/M1.00
A5073113816,Charles C. Davis,US,CHARLES,5,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,US:F0.01/M0.99
A5057515797,Maryam Hosseini,US,MARYAM,1,FEMININO,IBGE,FEMININO,WGND,FEMININO,WGND,US:F1.00
A5055980218,Andres Sevtsuk,US,ANDRES,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,US:F0.01/M0.99
A5083220583,Fábio Miranda,US,FABIO,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,US:F0.00/M1.00
A5003584200,Claudio T. Silva,US,CLAUDIO,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,US:F0.01/M0.99
A5007807199,Soukayna Mouatadid,CA,SOUKAYNA,1,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ausente na WGND para o país,FEMININO,WGND sem país (fallback),
A5062575451,Genevieve Flaspohler,US,GENEVIEVE,1,FEMININO,IBGE,FEMININO,WGND,FEMININO,WGND,US:F1.00/M0.00
A5113885064,Judah L. Cohen,US,JUDAH,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,US:F0.03/M0.97
A5087369029,Miruna Oprescu,US,MIRUNA,1,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ausente na WGND para o país,FEMININO,WGND sem país (fallback),
A5043876367,Ernest Fraenkel,US,ERNEST,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,US:F0.01/M0.99
A5018151279,Lester Mackey,GB;US,LESTER,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,GB:M1.00; US:F0.01/M0.99
A5023284147,Christopher J. Crawford,US,CHRISTOPHER,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,US:F0.00/M1.00
A5100410484,Chunhui Li,CN,CHUNHUI,1,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ambíguo na WGND,INDEFINIDO,nome ambíguo na WGND,CN:?0.50/F0.14/M0.36
A5115594027,Yihan Wang,CN,YIHAN,1,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ambíguo na WGND,INDEFINIDO,nome ambíguo na WGND,CN:?0.50/F0.31/M0.19
A5101919140,Yujun Yi,CN,YUJUN,1,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ambíguo na WGND,INDEFINIDO,nome ambíguo na WGND,CN:?0.50/F0.10/M0.40
A5100328993,Xuan Wang,CN,XUAN,1,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ambíguo na WGND,INDEFINIDO,nome ambíguo na WGND,CN:?0.50/F0.27/M0.23
A5003187553,Qiang Liu,CN,QIANG,1,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ambíguo na WGND,INDEFINIDO,nome ambíguo na WGND,CN:?0.33/F0.02/M0.65
A5026501771,Filipe Alvelos,PT,FILIPE,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,PT:M1.00
A5034834346,Amir Etemad‐Shahidi,AU,AMIR,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,AU:M1.00
A5016114936,Rodger B. Tomlinson,AU,RODGER,2,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,AU:M1.00
A5058875026,Yanzi Yan,CN,YANZI,1,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ambíguo na WGND,INDEFINIDO,nome ambíguo na WGND,CN:F0.82/M0.18
A5100743067,Xuhui Wang,CN,XUHUI,1,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ambíguo na WGND,INDEFINIDO,nome ambíguo na WGND,CN:?0.50/F0.09/M0.41
A5100711590,Yuanyi Gao,CN,YUANYI,1,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ambíguo na WGND,INDEFINIDO,nome ambíguo na WGND,CN:F0.30/M0.70
